time,All_FD_fpz,All_FD_pz,ApEn_Fpz,ApEn_pz,DFA_a1_fpz,DFA_a1_pz,DFA_a2_fpz,DFA_a2_pz,DFA_alpha_fpz,DFA_alpha_pz,H_Fpz_Cz,H_pz_Cz,mse-fpz-1,mse-fpz-2,mse-fpz-3,mse-fpz-4,mse-fpz-5,mse-fpz-6,mse-fpz-7,mse-fpz-8,mse-fpz-9,mse-pz-1,mse-pz-2,mse-pz-3,mse-pz-4,mse-pz-5,mse-pz-6,mse-pz-7,mse-pz-8,mse-pz-9,Samp_En_m0_Fpz,Samp_En_m0_pz,Samp_En_m1_Fpz,Samp_En_m1_pz,labels
2859000,1.5026779954506184,1.6404788300005029,1.388133328599869,1.8489668027486523,1.2551673854880685,0.7667888546415719,0.58346988603349,0.7164900298187177,0.992283351356964,0.7860842462540986,6.960898677592662,7.032938361388954,1.2931869338867588,1.1815183917043188,1.1903289085736697,1.254368141543442,1.3255399649458626,1.3673989432521434,1.3903485784189151,1.3966135561763544,1.4089603567397473,1.9467624667290515,1.9325450750268336,1.9712463426032591,1.9839031169236172,2.060531805168818,2.0215317019830223,2.0439134559303413,1.926283212970824,1.975603921821416,1.4090548470365742,2.000796353844715,1.2931869338867588,1.9467624667290515,1
2862000,1.4874241277014186,1.611964151099667,1.3979796991748854,1.828502376776453,1.2968722681048293,0.7972560749669205,0.5484361580265249,0.7045832133390275,0.96668751476186,0.8101944540920626,7.086193325024689,6.8966904784233165,1.2681380156674475,1.2292058391238498,1.233258998610287,1.3176147835119685,1.3437049984132552,1.41598215044238,1.4439759315969944,1.5377676631764323,1.472242467523028,1.917598286608612,1.851985321543297,1.8211470456895065,1.8167743296127163,1.8222330783898049,1.8796097796230504,1.969145860647697,1.882559090180003,1.901368602337868,1.3930692920005314,1.9718414728789475,1.2681380156674475,1.917598286608612,1
2865000,1.496229142848374,1.6586738433185335,1.4142444610018583,1.920771295482384,1.300667377039347,0.8277001423542951,0.4825629591480143,0.7036942346636239,0.9563137865719038,0.811244916527513,7.0381752260107,7.176295220447067,1.3072808961876354,1.2336512494720022,1.2416653693144215,1.2802359691930274,1.3115146956063588,1.390532424034946,1.3969300553283908,1.3743318655734946,1.4405088954724363,2.0543357735168004,1.986376449297113,1.9768424632144623,1.964063468394441,1.976618881197845,1.865024078291055,2.0078334038543577,2.0258440734818626,1.8687855833621656,1.3979841016035488,2.0954505633527942,1.3072808961876354,2.0543357735168004,1
2868000,1.500582367576789,1.6245469825168666,1.4551095631172632,1.860072904722963,1.1722196817894297,0.7936832209837968,0.5215759518442715,0.7322924525016029,0.8807243111596317,0.8369746813590185,6.926293478483112,7.023323212239955,1.3096241975937783,1.297304140559392,1.3218045740449322,1.429494374793775,1.461046255648099,1.5267086824347935,1.5635484175273606,1.5431152695030277,1.595799064238052,1.963986237777253,1.9155051535671903,1.874834851843965,1.948439981186625,1.9925614475223945,1.9634349702025304,1.8957363944061776,1.8491194797141184,1.999419658237709,1.446867306221003,2.012024518621001,1.3096241975937783,1.963986237777253,1
2871000,1.490546712502673,1.659485456437675,1.344430336426108,1.9100053126114116,1.2824601258660122,0.7883419112880223,0.5919220709511736,0.6154933630023574,0.9871178199556154,0.7461724438452231,6.754253418049672,7.110102499431115,1.2345263604452164,1.1367995966089697,1.1325827154168977,1.1986222098019346,1.206125196573489,1.190211288826995,1.1862994972193006,1.232907254189567,1.2932516159227454,2.037655053530868,2.014615121163767,2.081418553707005,2.08604208573283,2.126806290572662,2.056673531504541,1.9388186377398395,1.9712066233270031,1.884785924708607,1.3378432428732068,2.0892817608502816,1.2345263604452164,2.037655053530868,1
2874000,1.537069151129519,1.6484096071133758,1.534073096948192,1.882259697012401,1.2089218558631396,0.7763653071537363,0.5791725300030599,0.6596405649091687,0.9849442834294884,0.8141838998406369,7.092835613193673,7.061013261746004,1.4426353309858573,1.304419115613088,1.232725833894048,1.3493844016111411,1.2903495893535872,1.277038480550586,1.413584343040315,1.460039309514646,1.3737387445337064,1.9641829672992663,2.0058269822097485,1.9733525476754965,1.9485714839451915,1.8885172760276352,1.8822869525992607,2.053515932131675,1.970631745472712,1.842057934456351,1.5839719178826517,2.0077703846998083,1.4426353309858573,1.9641829672992663,1
2877000,1.546520093425234,1.6436563761949994,1.573645448272444,1.8738982175021803,1.1939400395250124,0.7545558744560987,0.4228142551302046,0.7203657603109198,0.8702803180025761,0.7881842426278307,6.981892620665463,7.04485659295903,1.477820722041076,1.3286025570470237,1.2862423460566308,1.367032689091681,1.3849647556548526,1.352171613650442,1.4538975235428566,1.407427632042893,1.4158496067513664,1.9698205907976596,1.9624541459286204,1.9673613186951795,2.003598229535469,2.0159681561963216,1.978048416313948,1.8967733205893005,1.8818638249083048,1.8840530554929544,1.6101495311681586,2.0174791571874,1.477820722041076,1.9698205907976596,1
2880000,1.5177029695728048,1.632082988798938,1.448205266616033,1.819922513452373,1.1954633332017237,0.7969354776075109,0.5617819849745018,0.7440488485310854,0.926328739235354,0.8108445127765528,6.889820086411051,6.952390794965695,1.3404497510900588,1.2597109308945276,1.2701320789876915,1.3110064306067368,1.3645937452194803,1.3913503466603252,1.4502682172114327,1.508437345726134,1.519014606853444,1.851209858165908,1.9070645256795271,1.928024888700576,1.9222468038795557,1.9280743680371404,1.9484210765277437,1.843720147126343,1.9191352197055365,2.0241996872361963,1.4631771213735851,1.9479752501173089,1.3404497510900588,1.851209858165908,1
2883000,1.543760936895239,1.6165932194125976,1.5276534061267242,1.7913630118327584,1.2514751351889324,0.7546287850059632,0.5576501550503069,0.7441985416005577,0.9844230976448578,0.8171305483814842,7.05959378590623,6.862554833674414,1.4565217142640223,1.3294560262325346,1.2859709284341343,1.2839356880074322,1.3070751474120752,1.3488515636361145,1.4287075948021302,1.4043175746700085,1.4520879739833392,1.8259254196478256,1.8031596927011355,1.7878857772668697,1.799566384517987,1.898838452238594,1.864821023534612,1.8970454664611665,1.92541853500947,1.9037122504530928,1.5907897694725766,1.9131433561067197,1.4565217142640223,1.8259254196478256,1
2886000,1.4842102728799709,1.6401740331026566,1.3759213478534005,1.8593819547263437,1.2969680046298029,0.7224650084891104,0.525185684390889,0.7437904539144734,0.9557310491033596,0.7916065644558571,7.020467623201855,7.029341250922719,1.2501358816629164,1.085330551308599,1.1373451329207314,1.1501752274710324,1.21071993509954,1.2747478523433668,1.2444816615572942,1.2844293267984288,1.3384272014151133,1.9669605025919503,2.0203787239399547,2.028464251184345,2.0213381597244093,2.039440952234464,2.046997269066519,2.04314634065406,2.1105384810277235,1.935664608372736,1.3741924532991143,2.0008800923949868,1.2501358816629164,1.9669605025919503,1
